Company,Job Title,,Location,First Stage,Second Stage,Third Stage,Fourth Stage,References Handed,Date Applied,Notes,Updated At,Status
Trade Coffee,Analytics Engineer,,Remote,,,,,,4/9/2021,,,
Rakem,Data Analyst,,Remote,Phone Screen,,,,,4/9/2021,,,
Cielo Talent,Reporting Specialist,,Remote,Phone Screen,,,,,4/7/2021,,,
Crevoso,Business Intelligence Analyst,,Remote,Phone Screen,,,,,4/6/2021,,,
Carvana,"Analyst, Inspection Strategy",,Dallas,Phone Screen,,,,,3/31/2021,,4/9/2021,
Blue Bottle Coffee,Analytics Engineer,,Oakland,,,,,,3/18/2021,,,
Hubspot,Business Systems Analyst,,Remote,Phone Screen,Hiring Manager,,,,3/16/2021,,,
Culture Amp,Data Analyst,,Remote,Phone Screen,Assessment,Hiring Manager,Team Interview,Yes,3/12/2021,,4/9/2021,Offer Extended
Justworks,Business Intelligence Analyst,,New York,Phone Screen,Team Interview + HM,,,,3/12/2021,,,
Vizient,Analyst,,Remote,Phone Screen,Hiring Manager + Team,,,,3/12/2021,,,
Mode Analytics,Data Scientist,,Remote,Phone Screen,,,,,3/11/2021,,,
Evolve Vacation Rental,Business Intelligence Analyst,,Denver,Phone Screen,,,,,3/10/2021,,,
FEVO,Data Analyst,,Remote,,,,,,3/8/2021,,,
Fisher Investments,Business Intelligence and Reporting Specialist,,Plano,,,,,,3/7/2021,,,
PepsiCo,LD&T Analyst,,Plano,Screening,Hiring Manager Interview,,,,3/5/2021,,,
Lonewolf Technologies,Business Analyst,,Dallas,Screening,Hiring Manager Interview,,,,3/3/2021,,,
Stride,Business Intelligence Analyst,,Remote,,,,,,3/3/2021,,,
Lalamove,Data Analyst,,Richardson,Recruiter Screen,Hiring Manager Interview,,,,3/3/2021,,,
Fast Enterprises,Implementation Consultant,,Varies,Recruiter Screen,Hiring Manager Interview,,,,3/3/2021,,,
Yardzen,Growth Analyst,,Remote,Recruiter Screen,Hiring Manager Interview,,,,3/2/2021,,,
Becton Dickinson,Business Analyst,,Remote,,,,,,3/2/2021,,,
Pagerduty,Marketing Analyst,,Remote,Recruiter Screen,Hiring Manager Interview,,,,2/27/2021,,,
Lane,Data Analyst,,Toranto,,,,,,2/19/2021,,,
Lokavant,Data Analyst,,New York City,Recruiter Screen,,,,,2/19/2021,,,
Mr. Cooper,Quantitative Analyst,,Irving,,,,,,2/19/2021,,,
Fanatics,Royalties Analyst,,Norman,,,,,,2/19/2021,,,
Impossible Foods,Data Science Analyst,,San Francisco,Screen,,,,,2/19/2021,,,
State Farm,Digital Analyst,,Richardson,Screen,,,,,2/15/2021,,,
DCTA,Financial Analyst,,Denton,,,,,,2/15/2021,,,
UTSW,Data Analyst - Service Line,,Dallas,,,,,,2/15/2021,,,
OU,Business Intelligence Analyst,,Norman,,,,,,2/15/2021,,,
Premium Retail Goods,Samsung Data Analyst,,Plano,,,,,,2/15/2021,,,
Pendo,Product Analyst,,Remote,,,,,,2/15/2021,,,
Uplight,Associate Data Analyst,,Denver,,,,,,2/15/2021,,,
Mack Weldon,Data Analyst,,New York City,Screen,Tech Assessment,,,,2/15/2021,,,
Digital Ocean,Analytics Engineer,,Remote,,,,,,2/15/2021,,,
Bright Cellars,Data Analyst,,Remote,Phone Screen,,,,,2/15/2021,,,
OneTrust,Marketing Analyst,,Atlanta,,,,,,2/15/2021,,,
MINT Dentistry,Data Reporting Analyst,,Denton,,,,,,2/15/2021,,,
Cottonwood Financial,Cloud Data Engineer,,Irving,Screen,Team Interview,,,,2/15/2021,,,
Jobcase,Peerformance Marketing Analyst,,Cambridge,Screen,Team Interview,,,,2/15/2021,,,
Upwork,TIP: Marketing Analyst,,Remote,Screen,,,,,2/15/2021,,,
SMU,Data Analyst,,Dallas,,,,,,2/15/2021,,,
LovetoKnow Media,Data Analyst,,Remote,,,,,,2/15/2021,,,
Kyruus,Business Intelligence Analyst,,Remore,,,,,,2/14/2021,,,
Doximity,"Data Analyst, Insights",,Remote,,,,,,2/13/2021,,,
ANTENNA,Data Analyst,,New York City,Screen,,,,,2/12/2021,,,
Handshake,Marketing Analytics Associate,,San Francisco,,,,,,2/12/2021,,,
Health IQ,Marketing Performance Analyst,,Remote,Screen,Hiring Manager Interview,,,,2/11/2021,,,
OWID,Data Analyst,,Remote,Assessment,Assessment,,,,2/10/2021,,,
GiveCampus,Product Analyst,,Washington D.C,Screen,,,,,2/10/2021,,,
Fairway Mortgage,IT Help Desk/Support Specialist (Remote),,Carrollton,Screen,,,,,2/8/2021,,,
Texas Capital Bank,Data analyst – Credit Review,,Richardson,,,,,,2/5/2021,,,
Blue Ocean,Junior Data Analyst,,Remote,,,,,,2/5/2021,,,
Jornaya,Product Data Analyst,,Remote,,,,,,2/4/2021,,,
